time	I(R1)	I(R4)
1.574187279550426e-001	1.010140e-003	4.132772e-004
1.574316963767083e-001	1.292044e-003	6.413023e-004
1.574376669634610e-001	1.378901e-003	7.207541e-004
1.574417825251239e-001	1.418858e-003	7.585365e-004
1.574448525470969e-001	1.438461e-003	7.772848e-004
1.574484761093735e-001	1.450611e-003	7.891072e-004
1.574524332323803e-001	1.451292e-003	7.901601e-004
1.574569605888627e-001	1.433520e-003	7.739602e-004
1.574642992839720e-001	1.363538e-003	7.102577e-004
1.574754497568244e-001	1.161551e-003	5.473549e-004
1.574878602332269e-001	7.750007e-004	2.994090e-004
1.574967070525332e-001	3.752513e-004	9.143862e-005
1.575047690281853e-001	-3.983189e-005	-1.070180e-004
1.575129634969404e-001	-4.428216e-004	-2.983875e-004
1.575233117652646e-001	-8.784401e-004	-5.035774e-004
1.575356425668608e-001	-1.282281e-003	-6.923340e-004
1.575402989137327e-001	-1.387257e-003	-7.411938e-004
1.575437384732741e-001	-1.434300e-003	-7.629227e-004
1.575471264936506e-001	-1.459324e-003	-7.741806e-004
1.575513381042963e-001	-1.464854e-003	-7.760447e-004
1.575551786124164e-001	-1.442219e-003	-7.647082e-004
1.575614180956892e-001	-1.345737e-003	-7.185571e-004
1.575714394293977e-001	-1.076192e-003	-5.921773e-004
1.575834448681341e-001	-6.169624e-004	-3.792770e-004
1.575935262559880e-001	-1.454418e-004	-1.618737e-004
1.576020747021129e-001	2.876965e-004	3.717638e-005
1.576109884544502e-001	7.071558e-004	2.407061e-004
1.576200611776943e-001	1.016265e-003	4.237220e-004
1.576329939102473e-001	1.287255e-003	6.368572e-004
1.576383895576433e-001	1.360347e-003	7.031991e-004
1.576423166705072e-001	1.395270e-003	7.360834e-004
1.576453779354615e-001	1.412871e-003	7.528639e-004
1.576491768619870e-001	1.423823e-003	7.635416e-004
1.576526939972129e-001	1.423136e-003	7.632989e-004
1.576573846655235e-001	1.403340e-003	7.454119e-004
1.576649830777812e-001	1.329164e-003	6.789769e-004
1.576762519617052e-001	1.111038e-003	5.154590e-004
1.576887928365126e-001	6.910740e-004	2.694526e-004
1.576976247433436e-001	2.800617e-004	6.774238e-005
1.577057506198819e-001	-1.382524e-004	-1.249386e-004
1.577139899116003e-001	-5.387325e-004	-3.083646e-004
1.577247062430871e-001	-9.827302e-004	-5.102724e-004
1.577355576134401e-001	-1.331024e-003	-6.677319e-004
1.577402370927308e-001	-1.434760e-003	-7.144490e-004
1.577436922175449e-001	-1.482373e-003	-7.357242e-004
1.577470707362333e-001	-1.507661e-003	-7.467621e-004
1.577512692580501e-001	-1.513681e-003	-7.488528e-004
1.577550665450817e-001	-1.491960e-003	-7.383958e-004
1.577612365242544e-001	-1.398105e-003	-6.951443e-004
1.577711509210528e-001	-1.134428e-003	-5.759419e-004
1.577831244936170e-001	-6.794729e-004	-3.725172e-004
1.577933671341446e-001	-2.019873e-004	-1.601572e-004
1.578019422019418e-001	2.322189e-004	3.229686e-005
