time	V(salida)	V(vi)
Step Information: C=100n  (Run: 1/5)
3.256551628407422e-003	-1.291757e-003	4.977378e-001
3.275666975425137e-003	-4.967798e-003	4.916960e-001
3.295198225425137e-003	-8.648337e-003	4.781679e-001
3.314729475425137e-003	-1.219826e-002	4.574874e-001
3.334260725425137e-003	-1.556382e-002	4.299259e-001
3.353791975425137e-003	-1.869440e-002	3.958979e-001
3.373323225425137e-003	-2.154293e-002	3.559152e-001
3.392854475425137e-003	-2.406659e-002	3.105792e-001
3.412385725425137e-003	-2.622748e-002	2.605718e-001
3.431916975425137e-003	-2.799315e-002	2.066452e-001
3.451448225425137e-003	-2.933714e-002	1.496104e-001
3.470979475425137e-003	-3.023933e-002	9.032537e-002
3.490510725425137e-003	-3.068626e-002	2.968175e-002
3.510041975425137e-003	-3.067129e-002	-3.140832e-002
3.529573225425137e-003	-3.019477e-002	-9.202597e-002
3.549104475425137e-003	-2.926395e-002	-1.512595e-001
3.568635725425137e-003	-2.789289e-002	-2.082179e-001
3.588166975425137e-003	-2.610227e-002	-2.620445e-001
3.607698225425137e-003	-2.391904e-002	-3.119297e-001
3.627229475425137e-003	-2.137602e-002	-3.571233e-001
3.646760725425137e-003	-1.851143e-002	-3.969453e-001
3.666291975425137e-003	-1.536827e-002	-4.307969e-001
3.685823225425137e-003	-1.199372e-002	-4.581690e-001
3.705354475425137e-003	-8.438437e-003	-4.786497e-001
3.724885725425137e-003	-4.755770e-003	-4.919311e-001
3.744416975425137e-003	-1.000924e-003	-4.979120e-001
3.762924173823278e-003	2.572698e-003	-4.965769e-001
3.782455423823278e-003	6.305573e-003	-4.877986e-001
3.801986673823278e-003	9.944702e-003	-4.717819e-001
3.821517923823278e-003	1.343516e-002	-4.486691e-001
3.841049173823278e-003	1.672441e-002	-4.188079e-001
3.860580423823278e-003	1.976295e-002	-3.826475e-001
3.880111673823278e-003	2.250503e-002	-3.407317e-001
3.899642923823278e-003	2.490932e-002	-2.936909e-001
3.919174173823278e-003	2.693956e-002	-2.422328e-001
3.938705423823278e-003	2.856512e-002	-1.871313e-001
3.958236673823277e-003	2.976145e-002	-1.292151e-001
3.977767923823277e-003	3.051044e-002	-6.935543e-002
3.997299173823276e-003	3.080074e-002	-8.452584e-003
4.016830423823276e-003	3.062790e-002	5.257739e-002
4.036361673823275e-003	2.999446e-002	1.128166e-001
4.055892923823275e-003	2.890991e-002	1.713589e-001
4.075424173823275e-003	2.739053e-002	2.273238e-001
4.094955423823274e-003	2.545919e-002	2.798695e-001
4.114486673823274e-003	2.314493e-002	3.282057e-001
4.134017923823273e-003	2.048261e-002	3.716055e-001
4.153549173823273e-003	1.751233e-002	4.094159e-001
4.173080423823273e-003	1.427881e-002	4.410684e-001
4.192611673823272e-003	1.083077e-002	4.660867e-001
4.212142923823272e-003	7.220150e-003	4.840947e-001
4.231674173823271e-003	3.502698e-003	4.951834e-001
4.247431556707671e-003	4.601510e-004	4.986443e-001
4.264045287175839e-003	-2.751367e-003	4.964618e-001
4.283576537175838e-003	-6.482328e-003	4.870760e-001
4.303107787175838e-003	-1.011652e-002	4.706443e-001
4.322639037175838e-003	-1.359798e-002	4.471338e-001
4.342170287175837e-003	-1.687421e-002	4.168979e-001
4.361701537175837e-003	-1.989593e-002	3.803915e-001
4.381232787175836e-003	-2.261771e-002	3.381637e-001
