Freq.	V(salida)
Step Information: C=100n  (Run: 1/5)
7.24435960074986e+001	-1.11202554903420e-003,1.22792964988293e-003
7.41310241300914e+001	-1.13501072318902e-003,1.28281334512966e-003
7.58577575029180e+001	-1.15785145158733e-003,1.33944874129177e-003
7.76247116628688e+001	-1.18052301461870e-003,1.39785673612261e-003
7.94328234724277e+001	-1.20300123748486e-003,1.45805760030494e-003
8.12830516164095e+001	-1.22526257562906e-003,1.52007104789028e-003
8.31763771102667e+001	-1.24728419420673e-003,1.58391631395462e-003
8.51138038202372e+001	-1.26904404099842e-003,1.64961223878400e-003
8.70963589956076e+001	-1.29052091225615e-003,1.71717735785024e-003
8.91250938133741e+001	-1.31169451107002e-003,1.78662999679540e-003
9.12010839355905e+001	-1.33254549793916e-003,1.85798837061747e-003
9.33254300796986e+001	-1.35305553333053e-003,1.93127068623350e-003
9.54992586021431e+001	-1.37320731210617e-003,2.00649524759659e-003
9.77237220955805e+001	-1.39298458979466e-003,2.08368056255176e-003
9.99999999999995e+001	-1.41237220077269e-003,2.16284545063999e-003
1.02329299228075e+002	-1.43135606850776e-003,2.24400915108980e-003
1.04712854805089e+002	-1.44992320809028e-003,2.32719143027894e-003
1.07151930523760e+002	-1.46806172135347e-003,2.41241268799768e-003
1.09647819614318e+002	-1.48576078494073e-003,2.49969406190077e-003
1.12201845430196e+002	-1.50301063173206e-003,2.58905752959694e-003
1.14815362149688e+002	-1.51980252608405e-003,2.68052600788914e-003
1.17489755493952e+002	-1.53612873337160e-003,2.77412344874533e-003
1.20226443461741e+002	-1.55198248434332e-003,2.86987493164865e-003
1.23026877081237e+002	-1.56735793481830e-003,2.96780675204260e-003
1.25892541179416e+002	-1.58225012125862e-003,3.06794650565399e-003
1.28824955169313e+002	-1.59665491275148e-003,3.17032316853960e-003
1.31825673855640e+002	-1.61056895992645e-003,3.27496717276511e-003
1.34896288259165e+002	-1.62398964131946e-003,3.38191047768018e-003
1.38038426460288e+002	-1.63691500767534e-003,3.49118663680767e-003
1.41253754462275e+002	-1.64934372465594e-003,3.60283086041265e-003
1.44543977074592e+002	-1.66127501439350e-003,3.71688007385936e-003
1.47910838816820e+002	-1.67270859629613e-003,3.83337297190340e-003
1.51356124843620e+002	-1.68364462748047e-003,3.95235006909729e-003
1.54881661891247e+002	-1.69408364317000e-003,4.07385374651659e-003
1.58489319246110e+002	-1.70402649736247e-003,4.19792829503532e-003
1.62181009735892e+002	-1.71347430403302e-003,4.32461995539753e-003
1.65958690743755e+002	-1.72242837910410e-003,4.45397695534496e-003
1.69824365246173e+002	-1.73089018337803e-003,4.58604954406946e-003
1.73780082874936e+002	-1.73886126659327e-003,4.72089002426492e-003
1.77827941003891e+002	-1.74634321273359e-003,4.85855278205432e-003
1.81970085860997e+002	-1.75333758668831e-003,4.99909431506645e-003
1.86208713666286e+002	-1.75984588233174e-003,5.14257325893354e-003
1.90546071796323e+002	-1.76586947206420e-003,5.28905041247390e-003
1.94984459975803e+002	-1.77140955783128e-003,5.43858876181563e-003
1.99526231496887e+002	-1.77646712361508e-003,5.59125350370833e-003
2.04173794466952e+002	-1.78104288937114e-003,5.74711206825780e-003
2.08929613085403e+002	-1.78513726636553e-003,5.90623414130713e-003
2.13796208950222e+002	-1.78875031385073e-003,6.06869168667452e-003
2.18776162394954e+002	-1.79188169700363e-003,6.23455896844532e-003
2.23872113856832e+002	-1.79453064603708e-003,6.40391257350182e-003
2.29086765276776e+002	-1.79669591638472e-003,6.57683143446105e-003
2.34422881531991e+002	-1.79837574985003e-003,6.75339685317717e-003
2.39883291901947e+002	-1.79956783660223e-003,6.93369252495216e-003
2.45470891568501e+002	-1.80026927789531e-003,7.11780456358496e-003
2.51188643150956e+002	-1.80047654938102e-003,7.30582152737757e-003
2.57039578276885e+002	-1.80018546488234e-003,7.49783444620375e-003
2.63026799189536e+002	-1.79939114049074e-003,7.69393684973523e-003
2.69153480392690e+002	-1.79808795884710e-003,7.89422479690955e-003
2.75422870333815e+002	-1.79626953346598e-003,8.09879690671232e-003
2.81838293126443e+002	-1.79392867295934e-003,8.30775439033890e-003
2.88403150312659e+002	-1.79105734501705e-003,8.52120108478965e-003
2.95120922666637e+002	-1.78764663999908e-003,8.73924348794611e-003
3.01995172040200e+002	-1.78368673399572e-003,8.96199079516629e-003
3.09029543251357e+002	-1.77916685121076e-003,9.18955493743116e-003
3.16227766016836e+002	-1.77407522552323e-003,9.42205062106693e-003
3.23593656929626e+002	-1.76839906108365e-003,9.65959536906177e-003
3.31131121482589e+002	-1.76212449179969e-003,9.90230956399007e-003
3.38844156139200e+002	-1.75523653956770e-003,1.01503164925516e-002
3.46736850452529e+002	-1.74771907110491e-003,1.04037423917283e-002
3.54813389233573e+002	-1.73955475323819e-003,1.06627164965563e-002
3.63078054770099e+002	-1.73072500650358e-003,1.09273710895072e-002
3.71535229097170e+002	-1.72120995691129e-003,1.11978415514682e-002
3.80189396320558e+002	-1.71098838572896e-003,1.14742664143057e-002
3.89045144994278e+002	-1.70003767713533e-003,1.17567874149956e-002
