time	V(n001)	V(n002)	I(D1)
4.412911607110576e-002	2.602881e+000	1.930721e+000	1.930721e-003
4.436628124967720e-002	2.448111e+000	1.778112e+000	1.778112e-003
4.465924999967720e-002	2.290020e+000	1.622390e+000	1.622390e-003
4.495221874967720e-002	2.164952e+000	1.499361e+000	1.499361e-003
4.514753124967721e-002	2.100691e+000	1.436211e+000	1.436211e-003
4.534284374967721e-002	2.052141e+000	1.388533e+000	1.388533e-003
4.553815624967721e-002	2.019566e+000	1.356560e+000	1.356560e-003
4.573346874967722e-002	2.003141e+000	1.340444e+000	1.340444e-003
4.592878124967722e-002	2.002958e+000	1.340264e+000	1.340264e-003
4.612409374967722e-002	2.019015e+000	1.356019e+000	1.356020e-003
4.631940624967722e-002	2.051227e+000	1.387636e+000	1.387636e-003
4.651471874967723e-002	2.099418e+000	1.434961e+000	1.434961e-003
4.671003124967723e-002	2.163328e+000	1.497764e+000	1.497764e-003
4.700299999967723e-002	2.287884e+000	1.620288e+000	1.620288e-003
4.729596874967724e-002	2.445491e+000	1.775530e+000	1.775530e-003
4.758893749967724e-002	2.634227e+000	1.961688e+000	1.961688e-003
4.788190624967725e-002	2.851792e+000	2.176565e+000	2.176565e-003
4.813302232110582e-002	3.064733e+000	2.387128e+000	2.387128e-003
4.838413839253439e-002	3.289652e+000	2.609743e+000	2.609743e-003
4.863525446396297e-002	3.526549e+000	2.844409e+000	2.844409e-003
4.888637053539155e-002	3.775425e+000	3.091126e+000	3.091125e-003
4.913748660682012e-002	4.036279e+000	3.349893e+000	3.349893e-003
4.938860267824870e-002	4.309111e+000	3.620712e+000	3.620712e-003
4.963971874967727e-002	4.593921e+000	3.903582e+000	3.903582e-003
4.993268749967728e-002	4.933704e+000	4.241281e+000	4.241281e-003
5.022565624967728e-002	5.264539e+000	4.570180e+000	4.570179e-003
5.051862499967728e-002	5.586426e+000	4.890278e+000	4.890278e-003
5.081159374967729e-002	5.899364e+000	5.201577e+000	5.201576e-003
5.110456249967729e-002	6.203353e+000	5.504075e+000	5.504075e-003
5.139753124967730e-002	6.498394e+000	5.797773e+000	5.797773e-003
5.169049999967730e-002	6.784487e+000	6.082671e+000	6.082671e-003
5.215087946396302e-002	7.188961e+000	6.485558e+000	6.485558e-003
5.261125892824874e-002	7.510825e+000	6.806161e+000	6.806162e-003
5.307163839253446e-002	7.750081e+000	7.044481e+000	7.044481e-003
5.353201785682019e-002	7.906727e+000	7.200517e+000	7.200517e-003
5.399239732110590e-002	7.980764e+000	7.274269e+000	7.274269e-003
5.445277678539163e-002	7.972192e+000	7.265737e+000	7.265737e-003
5.491315624967735e-002	7.881010e+000	7.174922e+000	7.174922e-003
5.517822321396306e-002	7.779444e+000	7.073705e+000	7.073705e-003
5.544329017824878e-002	7.653982e+000	6.948703e+000	6.948703e-003
5.570835714253450e-002	7.504623e+000	6.799915e+000	6.799915e-003
5.597342410682022e-002	7.331368e+000	6.627341e+000	6.627341e-003
5.623849107110594e-002	7.134215e+000	6.430981e+000	6.430981e-003
5.650355803539166e-002	6.913167e+000	6.210835e+000	6.210835e-003
5.676862499967737e-002	6.668221e+000	5.966904e+000	5.966904e-003
5.686628124967737e-002	6.575361e+000	5.874447e+000	5.874447e-003
5.714529910682024e-002	6.290308e+000	5.590634e+000	5.590634e-003
5.742431696396309e-002	5.999233e+000	5.300933e+000	5.300933e-003
5.770333482110596e-002	5.702135e+000	5.005346e+000	5.005346e-003
5.798235267824882e-002	5.399015e+000	4.703871e+000	4.703871e-003
5.826137053539168e-002	5.089873e+000	4.396509e+000	4.396509e-003
5.854038839253454e-002	4.774708e+000	4.083260e+000	4.083260e-003
5.881940624967740e-002	4.453521e+000	3.764123e+000	3.764123e-003
5.907052232110598e-002	4.171605e+000	3.484207e+000	3.484207e-003
5.932163839253455e-002	3.902779e+000	3.217444e+000	3.217444e-003
5.957275446396312e-002	3.647044e+000	2.963836e+000	2.963835e-003
5.982387053539170e-002	3.404399e+000	2.723381e+000	2.723381e-003
6.007498660682028e-002	3.174844e+000	2.496081e+000	2.496080e-003
6.032610267824885e-002	2.958380e+000	2.281934e+000	2.281934e-003
6.057721874967743e-002	2.755007e+000	2.080942e+000	2.080942e-003
6.087018749967743e-002	2.549515e+000	1.878102e+000	1.878102e-003
6.116315624967744e-002	2.373885e+000	1.704972e+000	1.704972e-003
6.145612499967744e-002	2.230257e+000	1.563581e+000	1.563582e-003
6.165143749967744e-002	2.153165e+000	1.487774e+000	1.487774e-003
6.184674999967744e-002	2.091500e+000	1.427183e+000	1.427183e-003
6.204206249967745e-002	2.045596e+000	1.382109e+000	1.382109e-003
6.223737499967745e-002	2.015703e+000	1.352769e+000	1.352770e-003
6.243268749967745e-002	2.001982e+000	1.339307e+000	1.339307e-003
6.262799999967744e-002	2.004507e+000	1.341784e+000	1.341784e-003
6.282331249967743e-002	2.023266e+000	1.360191e+000	1.360191e-003
6.301862499967742e-002	2.058155e+000	1.394438e+000	1.394438e-003
6.321393749967741e-002	2.108986e+000	1.444360e+000	1.444361e-003
6.340924999967740e-002	2.175485e+000	1.509715e+000	1.509715e-003
6.370221874967738e-002	2.303796e+000	1.635951e+000	1.635951e-003
6.399518749967736e-002	2.464963e+000	1.794724e+000	1.794724e-003
6.428815624967735e-002	2.657023e+000	1.984188e+000	1.984189e-003
6.458112499967733e-002	2.877634e+000	2.202105e+000	2.202105e-003
6.483224107110588e-002	3.092973e+000	2.415070e+000	2.415070e-003
6.508335714253445e-002	3.319999e+000	2.639795e+000	2.639795e-003
6.533447321396300e-002	3.558710e+000	2.876282e+000	2.876282e-003
6.558558928539156e-002	3.809107e+000	3.124529e+000	3.124529e-003
6.583670535682011e-002	4.071191e+000	3.384537e+000	3.384537e-003
6.608782142824868e-002	4.344960e+000	3.656306e+000	3.656306e-003
6.633893749967723e-002	4.630415e+000	3.939836e+000	3.939836e-003
6.663190624967721e-002	4.970475e+000	4.277829e+000	4.277829e-003
6.692487499967720e-002	5.301159e+000	4.606593e+000	4.606593e-003
6.721784374967718e-002	5.622467e+000	4.926130e+000	4.926129e-003
6.751081249967716e-002	5.934397e+000	5.236437e+000	5.236437e-003
6.780378124967715e-002	6.236951e+000	5.537517e+000	5.537517e-003
6.809674999967713e-002	6.530129e+000	5.829368e+000	5.829368e-003
6.838971874967711e-002	6.813930e+000	6.111990e+000	6.111990e-003
6.886404910681994e-002	7.225136e+000	6.521592e+000	6.521592e-003
6.933837946396278e-002	7.547976e+000	6.843172e+000	6.843171e-003
6.981270982110560e-002	7.782449e+000	7.076730e+000	7.076729e-003
7.028704017824844e-002	7.928555e+000	7.222266e+000	7.222266e-003
7.076137053539126e-002	7.986294e+000	7.279780e+000	7.279780e-003
7.123570089253410e-002	7.955667e+000	7.249273e+000	7.249273e-003
7.171003124967693e-002	7.836672e+000	7.130744e+000	7.130744e-003
7.205880357110547e-002	7.673369e+000	6.967988e+000	6.967988e-003
7.240757589253404e-002	7.474331e+000	6.769693e+000	6.769692e-003
7.275634821396258e-002	7.239556e+000	6.535857e+000	6.535857e-003
7.310512053539113e-002	6.969045e+000	6.266481e+000	6.266481e-003
7.345389285681968e-002	6.662798e+000	5.961566e+000	5.961566e-003
7.380266517824824e-002	6.320816e+000	5.621110e+000	5.621110e-003
7.415143749967679e-002	5.943097e+000	5.245114e+000	5.245115e-003
7.441650446396249e-002	5.646968e+000	4.950446e+000	4.950446e-003
7.468157142824819e-002	5.351722e+000	4.656782e+000	4.656782e-003
7.494663839253389e-002	5.057360e+000	4.364121e+000	4.364121e-003
7.521170535681958e-002	4.763881e+000	4.072465e+000	4.072465e-003
7.547677232110528e-002	4.471285e+000	3.781812e+000	3.781812e-003
7.574183928539098e-002	4.179573e+000	3.492163e+000	3.492164e-003
7.600690624967668e-002	3.888744e+000	3.203519e+000	3.203519e-003
7.624407142824810e-002	3.640235e+000	2.957107e+000	2.957107e-003
7.648123660681951e-002	3.406890e+000	2.725873e+000	2.725873e-003
7.671840178539092e-002	3.188709e+000	2.509816e+000	2.509816e-003
7.695556696396234e-002	2.985694e+000	2.308936e+000	2.308936e-003
7.719273214253376e-002	2.797843e+000	2.123233e+000	2.123233e-003
7.742989732110517e-002	2.625156e+000	1.952706e+000	1.952707e-003
7.766706249967659e-002	2.467635e+000	1.797358e+000	1.797358e-003
7.796003124967657e-002	2.305986e+000	1.638107e+000	1.638107e-003
7.825299999967655e-002	2.177167e+000	1.511369e+000	1.511369e-003
7.844831249967654e-002	2.110318e+000	1.445669e+000	1.445669e-003
7.864362499967653e-002	2.059129e+000	1.395394e+000	1.395394e-003
7.883893749967652e-002	2.023877e+000	1.360790e+000	1.360791e-003
7.903424999967651e-002	2.004752e+000	1.342025e+000	1.342025e-003
7.922956249967650e-002	2.001859e+000	1.339186e+000	1.339186e-003
7.942487499967649e-002	2.015214e+000	1.352289e+000	1.352289e-003
7.962018749967648e-002	2.044743e+000	1.381271e+000	1.381271e-003
7.981549999967647e-002	2.090286e+000	1.425991e+000	1.425991e-003
8.001081249967645e-002	2.151598e+000	1.486234e+000	1.486234e-003
8.030378124967644e-002	2.272381e+000	1.605030e+000	1.605030e-003
8.059674999967642e-002	2.426403e+000	1.756718e+000	1.756717e-003
8.088971874967640e-002	2.611787e+000	1.939542e+000	1.939542e-003
8.118268749967639e-002	2.826274e+000	2.151348e+000	2.151348e-003
8.143380357110494e-002	3.036784e+000	2.359479e+000	2.359479e-003
8.168491964253351e-002	3.259563e+000	2.579950e+000	2.579950e-003
8.193603571396206e-002	3.494610e+000	2.812759e+000	2.812759e-003
8.218715178539061e-002	3.741927e+000	3.057908e+000	3.057908e-003
8.243826785681917e-002	4.001512e+000	3.315396e+000	3.315396e-003
8.268938392824773e-002	4.273366e+000	3.585223e+000	3.585223e-003
8.294049999967629e-002	4.557488e+000	3.867390e+000	3.867390e-003
8.323346874967627e-002	4.896944e+000	4.204744e+000	4.204744e-003
8.352643749967625e-002	5.227880e+000	4.533727e+000	4.533727e-003
8.381940624967624e-002	5.550297e+000	4.854340e+000	4.854340e-003
8.411237499967622e-002	5.864195e+000	5.166582e+000	5.166582e-003
8.440534374967620e-002	6.169574e+000	5.470454e+000	5.470454e-003
8.469831249967619e-002	6.466433e+000	5.765955e+000	5.765955e-003
8.499128124967617e-002	6.754774e+000	6.053085e+000	6.053085e-003
8.514474107110473e-002	6.893466e+000	6.191198e+000	6.191198e-003
8.529820089253330e-002	7.024797e+000	6.321988e+000	6.321988e-003
8.545166071396186e-002	7.148766e+000	6.445454e+000	6.445454e-003
8.560512053539042e-002	7.265374e+000	6.561596e+000	6.561596e-003
8.575858035681898e-002	7.374621e+000	6.670414e+000	6.670414e-003
8.591204017824755e-002	7.476506e+000	6.771909e+000	6.771909e-003
8.606549999967611e-002	7.571030e+000	6.866080e+000	6.866080e-003
8.616315624967610e-002	7.626115e+000	6.920959e+000	6.920960e-003
8.667933928539036e-002	7.851847e+000	7.145844e+000	7.145844e-003
8.719552232110461e-002	7.970651e+000	7.264206e+000	7.264206e-003
